id,card,expiration,cvv,zip
0,5270-4267-6450-5516,6/25/2010,123,94025
1,5370-4638-8881-3020,2/1/2011,713,66428
2,4916-9766-5240-6147,2/25/2009,258,94618
3,5180-3807-3679-8221,3/1/2010,612,80112
4,4929-3813-3266-4295,12/1/2011,911,66215
5,3.4539E+14,1/1/2010,232,66215
6,3.02049E+13,12/1/2011,471,68883
7,4916 4811 5814 8111,10/1/2010,731,27560
8,5218 0144 2703 9266,11/1/2011,892,10011
9,4916 4034 9269 8783,4/1/2011,33,35501
10,4532 1753 6071 1112,9/1/2011,694,77002
11,4539 5385 7425 5825,6/1/2011,680,70629
12,5325 3256 9519 6624,3/1/2009,238,96748
13,4532 4220 6922 9909,9/1/2010,311,95129
14,4532 0065 1968 5602,11/1/2009,713,93401
15,4556 0072 1294 7415,5/1/2010,953,77077
16,5527 1247 5046 7780,3/1/2009,889,55401
17,5299 1561 5689 1938,8/1/2011,584,75247
18,5144 8691 2776 1108,10/1/2011,616,6108
19,4532 9929 3036 9308,7/1/2011,991,39567
20,4539 0031 3703 0728,12/1/2009,322,35209
21,4716 6984 4983 6160,9/1/2011,767,76104
22,5548 0246 6336 5664,2/1/2010,276,43602
23,4916 6734 7572 5015,2/1/2010,347,62701
24,5399 0706 4128 0178,10/1/2009,721,77006
25,5293 8502 0071 3058,8/1/2010,701,90248
26,5495 8602 4508 6804,2/1/2011,436,27612
27,5413 4428 0145 0036,2/1/2010,496,18641
28,4539 8219 0484 7598,3/1/2011,710,42003
29,5252 5971 4219 4116,2/1/2011,173,8854
